label,n,Never,Rarely,Sometimes,Often,Always,mean_score
Changes in interpretation over time,11,27.27272727272727,45.45454545454545,9.090909090909092,9.090909090909092,9.090909090909092,2.272727272727273
Confidence or strength of evidence,12,25.0,16.666666666666664,33.33333333333333,25.0,0.0,2.5833333333333335
Documentation authorship and update history,11,18.181818181818183,9.090909090909092,27.27272727272727,27.27272727272727,18.181818181818183,3.1818181818181817
User or stakeholder feedback,12,16.666666666666664,0.0,41.66666666666667,25.0,16.666666666666664,3.25
Assumptions or open questions,12,16.666666666666664,8.333333333333332,25.0,33.33333333333333,16.666666666666664,3.25
Findings or insights,12,25.0,0.0,0.0,50.0,25.0,3.5
"Design implications, recommendations, decisions",11,18.181818181818183,0.0,9.090909090909092,54.54545454545454,18.181818181818183,3.5454545454545454
Rationale for design decisions,11,9.090909090909092,18.181818181818183,0.0,45.45454545454545,27.27272727272727,3.6363636363636362
Evaluation results,12,16.666666666666664,0.0,16.666666666666664,33.33333333333333,33.33333333333333,3.6666666666666665
Direct quotes or source excerpts,12,16.666666666666664,0.0,8.333333333333332,41.66666666666667,33.33333333333333,3.75
Context-of-use information,12,0.0,8.333333333333332,16.666666666666664,58.333333333333336,16.666666666666664,3.8333333333333335
Raw data or source material,12,0.0,25.0,8.333333333333332,16.666666666666664,50.0,3.9166666666666665
Study goal or research question,12,0.0,0.0,16.666666666666664,33.33333333333333,50.0,4.333333333333333
Participant or user group information,12,0.0,8.333333333333332,0.0,25.0,66.66666666666666,4.5
Research method used,12,0.0,0.0,16.666666666666664,16.666666666666664,66.66666666666666,4.5
