label,n,Not important,Slightly important,Moderately important,Very important,Essential,mean_score
Creating structured input for later AI-supported work,6,33.33333333333333,16.666666666666664,16.666666666666664,0.0,33.33333333333333,2.8333333333333335
Avoiding repeated research,7,14.285714285714285,42.857142857142854,14.285714285714285,0.0,28.57142857142857,2.857142857142857
"Meeting regulatory, audit, or quality requirements",7,0.0,42.857142857142854,14.285714285714285,42.857142857142854,0.0,3.0
Onboarding new team members,7,0.0,28.57142857142857,42.857142857142854,0.0,28.57142857142857,3.2857142857142856
Reusing findings in later projects,7,0.0,14.285714285714285,42.857142857142854,14.285714285714285,28.57142857142857,3.5714285714285716
Preserving organizational knowledge,7,0.0,14.285714285714285,28.57142857142857,28.57142857142857,28.57142857142857,3.7142857142857144
Supporting handover to design /development teams,7,14.285714285714285,14.285714285714285,0.0,28.57142857142857,42.857142857142854,3.7142857142857144
Stakeholder communication,7,0.0,0.0,28.57142857142857,42.857142857142854,28.57142857142857,4.0
Supporting design decisions,7,0.0,0.0,28.57142857142857,42.857142857142854,28.57142857142857,4.0
Supporting team understanding,7,0.0,0.0,0.0,71.42857142857143,28.57142857142857,4.285714285714286
Supporting analysis and synthesis,7,0.0,0.0,0.0,71.42857142857143,28.57142857142857,4.285714285714286
Supporting my own understanding,7,0.0,0.0,0.0,71.42857142857143,28.57142857142857,4.285714285714286
