Response ID,question,column,answer
48,Which of the following best describes your current or most recent role?,A2[other]. Which of the following best describes your current or most recent role? [Other],lead position in user research in a university library
10,In which type of organization do you mainly work?,A3[other]. In which type of organization do you mainly work? [Other],Software agency
7,In which country do you mainly work?,A8[other]. In which country do you mainly work? [Other],france
11,In which country do you mainly work?,A8[other]. In which country do you mainly work? [Other],Bangladesh
45,In which country do you mainly work?,A8[other]. In which country do you mainly work? [Other],italy
46,In which country do you mainly work?,A8[other]. In which country do you mainly work? [Other],Sweden
5,What is your disciplinary or educational background?,A9[other]. What is your disciplinary or educational background? [Other],computer scienc
3,Where does the documentation requirement come from?,A7a. Where does the documentation requirement come from?,"External factors (e.g., regulations, client policy)"
4,Where does the documentation requirement come from?,A7a. Where does the documentation requirement come from?,"Internal factors (e.g., company policy)"
7,Where does the documentation requirement come from?,A7a. Where does the documentation requirement come from?,"External factors (e.g., regulations, client policy)"
9,Where does the documentation requirement come from?,A7a. Where does the documentation requirement come from?,"Internal factors (e.g., company policy)"
10,Where does the documentation requirement come from?,A7a. Where does the documentation requirement come from?,"External factors (e.g., regulations, client policy)"
45,Where does the documentation requirement come from?,A7a. Where does the documentation requirement come from?,"Internal factors (e.g., company policy)"
48,Where does the documentation requirement come from?,A7a. Where does the documentation requirement come from?,"Internal factors (e.g., company policy)"
49,Where does the documentation requirement come from?,A7a. Where does the documentation requirement come from?,"External factors (e.g., regulations, client policy)"
50,Where does the documentation requirement come from?,A7a. Where does the documentation requirement come from?,"Internal factors (e.g., company policy)"
51,Where does the documentation requirement come from?,A7a. Where does the documentation requirement come from?,"External factors (e.g., regulations, client policy)"
3,User research repositories:,B2A1[other]. User research repositories: [Other],maxqdata
4,User research repositories:,B2A1[other]. User research repositories: [Other],"university specific repository, also internal team system for study documentations and data sharing"
9,User research repositories:,B2A1[other]. User research repositories: [Other],Confluence as this is used in the company
54,User research repositories:,B2A1[other]. User research repositories: [Other],Confluence ; Miro; PowerPoint
9,Qualitative analysis tools:,B2A2[other]. Qualitative analysis tools: [Other],AI
9,Whiteboard tools:,B2A3[other]. Whiteboard tools: [Other],Confluence
9,Note-taking tools:,B2A7[other]. Note-taking tools: [Other],AI
10,Note-taking tools:,B2A7[other]. Note-taking tools: [Other],"Miro, excel"
9,Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box.,B4[SQ002comment]. Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box. [UX researchers][Comment],Myself as sole UX Designer
9,Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box.,B4[SQ003comment]. Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box. [UX designers / product designers][Comment],Myself as Sole UX and UI designer
4,Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box.,B4[SQ004comment]. Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box. [Product managers / product owners][Comment],"each study has one lead, the lead is responsible"
10,Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box.,B4[SQ011comment]. Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box. [No one explicitly][Comment],We uxers are working for Severin Clients with different requirements and ambitions regarding Research. For many only the Product delivered in the end counts
10,What makes user research documentation difficult in your work?,B9[other]. What makes user research documentation difficult in your work? [Other],"My Main Job is design, I‘ve learnt basic research Methods but not structured or scalable documentation"
3,What is the most important documentation problem you currently experience?,B10. What is the most important documentation problem you currently experience?,data quality
4,What is the most important documentation problem you currently experience?,B10. What is the most important documentation problem you currently experience?,"Documenting well (outside of publications) is really time consuming and it is never one of the most urgent tasks, so it tends to get delayed or pushed back forever"
10,What is the most important documentation problem you currently experience?,B10. What is the most important documentation problem you currently experience?,I and we in the Company don‘t have a Standard. Not for doing analysis (being messy) and also for bringimh insights to a presentation format
54,What is the most important documentation problem you currently experience?,B10. What is the most important documentation problem you currently experience?,Lack of professional repo
4,How often should documented user research findings be reused beyond the original study or project? Optional: Use the comment field to explain your answer.,B8[comment]. How often should documented user research findings be reused beyond the original study or project? Optional: Use the comment field to explain your answer. [Comment],"It really depends on the findings, I think it should be reused when it is relevant, and when accumulating findings on an overarching topic brings new insights, but not reused just for more attention / publications / etc. if there is little value."
9,Which AI-based tools or AI features have you used for user research documentation?,C2[other]. Which AI-based tools or AI features have you used for user research documentation? [Other],Atlassian AI
54,"For which outputs or documentation tasks have you used AI? Please select tasks where AI helped you create, transform, structure, or draft documentation outputs.","C3[other]. For which outputs or documentation tasks have you used AI? Please select tasks where AI helped you create, transform, structure, or draft documentation outputs. [Other]",Secondary Research ; Subject matter research
9,"What types of existing material have you provided to AI as input? This includes material you pasted, uploaded, connected, imported, or otherwise processed with an AI-based tool.","C4[other]. What types of existing material have you provided to AI as input? This includes material you pasted, uploaded, connected, imported, or otherwise processed with an AI-based tool. [Other]","Recordings, research, responds and transcripts only after removing all personal data, same with statistics."
3,How do you usually check AI-generated outputs? You may use the comment fields to briefly describe how you do this in practice.,C7[SQ001comment]. How do you usually check AI-generated outputs? You may use the comment fields to briefly describe how you do this in practice. [I compare outputs with the original source material.][Comment],plausibility check
4,How do you usually check AI-generated outputs? You may use the comment fields to briefly describe how you do this in practice.,C7[SQ001comment]. How do you usually check AI-generated outputs? You may use the comment fields to briefly describe how you do this in practice. [I compare outputs with the original source material.][Comment],If I use it for information search
4,How do you usually check AI-generated outputs? You may use the comment fields to briefly describe how you do this in practice.,C7[SQ002comment]. How do you usually check AI-generated outputs? You may use the comment fields to briefly describe how you do this in practice. [I check selected parts of the output.][Comment],"If that can be done effectively (e.g., cross-word search)"
4,How do you usually check AI-generated outputs? You may use the comment fields to briefly describe how you do this in practice.,C7[SQ003comment]. How do you usually check AI-generated outputs? You may use the comment fields to briefly describe how you do this in practice. [I check only if something seems suspicious.][Comment],If I am already very familiar with the source
4,How do you usually check AI-generated outputs? You may use the comment fields to briefly describe how you do this in practice.,C7[SQ006comment]. How do you usually check AI-generated outputs? You may use the comment fields to briefly describe how you do this in practice. [We use source links or citations provided by the tool.][Comment],"If they are provided, I'll start there (unless I have a better source)"
4,How do you usually check AI-generated outputs? You may use the comment fields to briefly describe how you do this in practice.,C7[SQ007comment]. How do you usually check AI-generated outputs? You may use the comment fields to briefly describe how you do this in practice. [I usually rely on the output if it seems plausible.][Comment],"Only for low-stakes (e.g., private) matters"
4,Why did you decide not to use AI in that case?,C9. Why did you decide not to use AI in that case?,"I don't want to outsource what I consider a key part of my profession, this would negatively affect my own knowledge and competencies, and I also don't trust AI to do it well enough for most applications, based on my and my colleagues experiences so far."
9,Why did you decide not to use AI in that case?,C9. Why did you decide not to use AI in that case?,"Personal data, everything related to dsgvo. Complex flows or design decisions which AI was not able to do. Decisions. AI for repetitive work, research and summaries but not for decisions."
54,Why did you decide not to use AI in that case?,C9. Why did you decide not to use AI in that case?,Privacy concerns ;
3,What would you expect from future AI support for documentation work?,D3. What would you expect from future AI support for documentation work?,traceability
4,What would you expect from future AI support for documentation work?,D3. What would you expect from future AI support for documentation work?,"If it could reliably and efficiently take over documentation (e.g., by observing what I do, and asking in case of uncertainties), this would be helpful. I'm not sure I expect this to happen soon-ish, as this would require substantial contextual understanding that currently goes beyond LLM capabilities a lot of times."
3,What should AI never do in user research documentation?,E3. What should AI never do in user research documentation?,intervene in the process
4,What should AI never do in user research documentation?,E3. What should AI never do in user research documentation?,"Make interpretations of findings, or create open design recommendations. Also it should ideally never see non-anonymized data."
3,Is there anything else you would like to tell us about UX research documentation or AI support?,H2. Is there anything else you would like to tell us about UX research documentation or AI support?,no
4,Is there anything else you would like to tell us about UX research documentation or AI support?,H2. Is there anything else you would like to tell us about UX research documentation or AI support?,"I think much documenting work is part of the thinking and processing process for the human researcher or employee. If we outsource that to AI, it will have detrimental consequences on our own understanding and long-term skills, and we need someone to verfiy the information and interpretation."
